Paiva;Kuukausi;Viikko;vpnimi;Tunti;Vedenkulutus;yli_alle
23;5;21;to;01;0;1
23;5;21;to;02;0.02;1
23;5;21;to;03;0.04;0
23;5;21;to;04;0.04;0
24;5;21;pe;01;0;1
24;5;21;pe;02;0.01;1
24;5;21;pe;03;0.04;0
24;5;21;pe;04;0.05;0
25;5;21;la;01;0.06;0
25;5;21;la;02;0.02;1
25;5;21;la;03;0.04;0
25;5;21;la;04;0.01;1
26;5;21;su;01;0.01;1
26;5;21;su;02;0.01;1
26;5;21;su;03;0;1
26;5;21;su;04;0.01;1
27;5;22;ma;01;0.02;1
27;5;22;ma;02;0;1
27;5;22;ma;03;0;1
27;5;22;ma;04;0.03;0
28;5;22;ti;01;0.02;1
28;5;22;ti;02;0.01;1
28;5;22;ti;03;0.01;1
28;5;22;ti;04;0.05;0
29;5;22;ke;01;0.02;1
29;5;22;ke;02;0.01;1
29;5;22;ke;03;0.02;1
29;5;22;ke;04;0.07;0
30;5;22;to;01;0.04;0
30;5;22;to;02;0.01;1
30;5;22;to;03;0.01;1
30;5;22;to;04;0.03;0
31;5;22;pe;01;0;1
31;5;22;pe;02;0.02;1
31;5;22;pe;03;0.03;0
31;5;22;pe;04;0.02;1
1;6;22;la;01;0;1
1;6;22;la;02;0.01;1
1;6;22;la;03;0;1
1;6;22;la;04;0.07;0
2;6;22;su;01;0.02;1
2;6;22;su;02;0.06;0
2;6;22;su;03;0.01;1
2;6;22;su;04;0.01;1
3;6;23;ma;01;0.02;1
3;6;23;ma;02;0;1
3;6;23;ma;03;0.02;1
3;6;23;ma;04;0.02;1
4;6;23;ti;01;0;1
4;6;23;ti;02;0.03;0
4;6;23;ti;03;0;1
4;6;23;ti;04;0.04;0
5;6;23;ke;01;0.01;1
5;6;23;ke;02;0.01;1
5;6;23;ke;03;0.04;0
5;6;23;ke;04;0.03;0
6;6;23;to;01;0.01;1
6;6;23;to;02;0.01;1
6;6;23;to;03;0.02;1
6;6;23;to;04;0.02;1
7;6;23;pe;01;0.01;1
7;6;23;pe;02;0;1
7;6;23;pe;03;0.01;1
7;6;23;pe;04;0.03;0
8;6;23;la;01;0.02;1
8;6;23;la;02;0.01;1
8;6;23;la;03;0.01;1
8;6;23;la;04;0;1
9;6;23;su;01;0.01;1
9;6;23;su;02;0;1
9;6;23;su;03;0;1
9;6;23;su;04;0.01;1
10;6;24;ma;01;0.12;0
10;6;24;ma;02;0.01;1
10;6;24;ma;03;0.01;1
10;6;24;ma;04;0.03;0
11;6;24;ti;01;0;1
11;6;24;ti;02;0;1
11;6;24;ti;03;0.02;1
11;6;24;ti;04;0.04;0
12;6;24;ke;01;0.01;1
12;6;24;ke;02;0;1
12;6;24;ke;03;0.02;1
12;6;24;ke;04;0.03;0
13;6;24;to;01;0.03;0
13;6;24;to;02;0;1
13;6;24;to;03;0.04;0
13;6;24;to;04;0.04;0
14;6;24;pe;01;0.01;1
14;6;24;pe;02;0.04;0
14;6;24;pe;03;0;1
14;6;24;pe;04;0.03;0
15;6;24;la;01;0.02;1
15;6;24;la;02;0.01;1
15;6;24;la;03;0.01;1
15;6;24;la;04;0.02;1
16;6;24;su;01;0.02;1
16;6;24;su;02;0;1
16;6;24;su;03;0.03;0
16;6;24;su;04;0.01;1
17;6;25;ma;01;0.25;0
17;6;25;ma;02;0.05;0
17;6;25;ma;03;0.2;0
17;6;25;ma;04;0.07;0
18;6;25;ti;01;0.03;0
18;6;25;ti;02;0.01;1
18;6;25;ti;03;0.13;0
18;6;25;ti;04;0.09;0
19;6;25;ke;01;0.02;1
19;6;25;ke;02;0.01;1
19;6;25;ke;03;0.03;0
19;6;25;ke;04;0.05;0
20;6;25;to;01;0.02;1
20;6;25;to;02;0.02;1
20;6;25;to;03;0.02;1
20;6;25;to;04;0.05;0
21;6;25;pe;01;0.06;0
21;6;25;pe;02;0.04;0
21;6;25;pe;03;0.03;0
21;6;25;pe;04;0.13;0
22;6;25;la;01;0.01;1
22;6;25;la;02;0.02;1
22;6;25;la;03;0.02;1
22;6;25;la;04;0.04;0
23;6;25;su;01;0.02;1
23;6;25;su;02;0.01;1
23;6;25;su;03;0;1
23;6;25;su;04;0.03;0
24;6;26;ma;01;0.03;0
24;6;26;ma;02;0.12;0
24;6;26;ma;03;0.05;0
24;6;26;ma;04;0.02;1
25;6;26;ti;01;0.01;1
25;6;26;ti;02;0.02;1
25;6;26;ti;03;0.02;1
25;6;26;ti;04;0.06;0
26;6;26;ke;01;0.01;1
26;6;26;ke;02;0.04;0
26;6;26;ke;03;0.03;0
26;6;26;ke;04;0.04;0
27;6;26;to;01;0.04;0
27;6;26;to;02;0.01;1
27;6;26;to;03;0.02;1
27;6;26;to;04;0.03;0
28;6;26;pe;01;0.01;1
28;6;26;pe;02;0.01;1
28;6;26;pe;03;0.01;1
28;6;26;pe;04;0.04;0
29;6;26;la;01;0.03;0
29;6;26;la;02;0.18;0
29;6;26;la;03;0.03;0
29;6;26;la;04;0.02;1
30;6;26;su;01;0.2;0
30;6;26;su;02;0.01;1
30;6;26;su;03;0.01;1
30;6;26;su;04;0.04;0
1;7;27;ma;01;0.1;0
1;7;27;ma;02;0.05;0
1;7;27;ma;03;0.02;1
1;7;27;ma;04;0.05;0
2;7;27;ti;01;0.01;1
2;7;27;ti;02;0.01;1
2;7;27;ti;03;0.03;0
2;7;27;ti;04;0.02;1
3;7;27;ke;01;0.01;1
3;7;27;ke;02;0.01;1
3;7;27;ke;03;0.02;1
3;7;27;ke;04;0.01;1
4;7;27;to;01;0.01;1
4;7;27;to;02;0;1
4;7;27;to;03;0.01;1
4;7;27;to;04;0.05;0
5;7;27;pe;01;0;1
5;7;27;pe;02;0;1
5;7;27;pe;03;0.03;0
5;7;27;pe;04;0.11;0
6;7;27;la;01;0.02;1
6;7;27;la;02;0.02;1
6;7;27;la;03;0;1
6;7;27;la;04;0;1
7;7;27;su;01;0.03;0
7;7;27;su;02;0.02;1
7;7;27;su;03;0;1
7;7;27;su;04;0.01;1
8;7;28;ma;01;0.02;1
8;7;28;ma;02;0.17;0
8;7;28;ma;03;0.03;0
8;7;28;ma;04;0.05;0
9;7;28;ti;01;0.11;0
9;7;28;ti;02;0.02;1
9;7;28;ti;03;0.03;0
9;7;28;ti;04;0.04;0
10;7;28;ke;01;0.03;0
10;7;28;ke;02;0.02;1
10;7;28;ke;03;0.03;0
10;7;28;ke;04;0.09;0
11;7;28;to;01;0.02;1
11;7;28;to;02;0.01;1
11;7;28;to;03;0.04;0
11;7;28;to;04;0.03;0
12;7;28;pe;01;0.02;1
12;7;28;pe;02;0.01;1
12;7;28;pe;03;0.03;0
12;7;28;pe;04;0.06;0
13;7;28;la;01;0.01;1
13;7;28;la;02;0;1
13;7;28;la;03;0;1
13;7;28;la;04;0;1
14;7;28;su;01;0.02;1
14;7;28;su;02;0;1
14;7;28;su;03;0.01;1
14;7;28;su;04;0;1
15;7;29;ma;01;0.03;0
15;7;29;ma;02;0.02;1
15;7;29;ma;03;0.01;1
15;7;29;ma;04;0.09;0
16;7;29;ti;01;0;1
16;7;29;ti;02;0.01;1
16;7;29;ti;03;0.01;1
16;7;29;ti;04;0;1
17;7;29;ke;01;0.08;0
17;7;29;ke;02;0;1
17;7;29;ke;03;0;1
17;7;29;ke;04;0.01;1
18;7;29;to;01;0.1;0
18;7;29;to;02;0.01;1
18;7;29;to;03;0.02;1
18;7;29;to;04;0;1
19;7;29;pe;01;0.01;1
19;7;29;pe;02;0;1
19;7;29;pe;03;0.01;1
19;7;29;pe;04;0.02;1
20;7;29;la;01;0.01;1
20;7;29;la;02;0;1
20;7;29;la;03;0.01;1
20;7;29;la;04;0.02;1
21;7;29;su;01;0.02;1
21;7;29;su;02;0.01;1
21;7;29;su;03;0;1
21;7;29;su;04;0.03;0
22;7;30;ma;01;0.02;1
22;7;30;ma;02;0;1
22;7;30;ma;03;0;1
22;7;30;ma;04;0;1
23;7;30;ti;01;0.02;1
23;7;30;ti;02;0.01;1
23;7;30;ti;03;0.03;0
23;7;30;ti;04;0.01;1
24;7;30;ke;01;0.01;1
24;7;30;ke;02;0;1
24;7;30;ke;03;0.01;1
24;7;30;ke;04;0.01;1
25;7;30;to;01;0.2;0
25;7;30;to;02;0;1
25;7;30;to;03;0;1
25;7;30;to;04;0.05;0
26;7;30;pe;01;0.03;0
26;7;30;pe;02;0;1
26;7;30;pe;03;0.01;1
26;7;30;pe;04;0.01;1
27;7;30;la;01;0.03;0
27;7;30;la;02;0.03;0
27;7;30;la;03;0.04;0
27;7;30;la;04;0.04;0
28;7;30;su;01;0.02;1
28;7;30;su;02;0.02;1
28;7;30;su;03;0.05;0
28;7;30;su;04;0.05;0
29;7;31;ma;01;0.03;0
29;7;31;ma;02;0.02;1
29;7;31;ma;03;0.02;1
29;7;31;ma;04;0.02;1
30;7;31;ti;01;0.01;1
30;7;31;ti;02;0;1
30;7;31;ti;03;0.01;1
30;7;31;ti;04;0.03;0
31;7;31;ke;01;0.02;1
31;7;31;ke;02;0.02;1
31;7;31;ke;03;0.01;1
31;7;31;ke;04;0.01;1
1;8;31;to;01;0.03;0
1;8;31;to;02;0.02;1
1;8;31;to;03;0.01;1
1;8;31;to;04;0.01;1
2;8;31;pe;01;0.01;1
2;8;31;pe;02;0.01;1
2;8;31;pe;03;0.01;1
2;8;31;pe;04;0.01;1
3;8;31;la;01;0.01;1
3;8;31;la;02;0.01;1
3;8;31;la;03;0.01;1
3;8;31;la;04;0.02;1
4;8;31;su;01;0.26;0
4;8;31;su;02;0;1
4;8;31;su;03;0;1
4;8;31;su;04;0.03;0
5;8;32;ma;01;0.01;1
5;8;32;ma;02;0.02;1
5;8;32;ma;03;0.01;1
5;8;32;ma;04;0.03;0
6;8;32;ti;01;0.01;1
6;8;32;ti;02;0.03;0
6;8;32;ti;03;0.01;1
6;8;32;ti;04;0.02;1
7;8;32;ke;01;0.01;1
7;8;32;ke;02;0.01;1
7;8;32;ke;03;0.01;1
7;8;32;ke;04;0.02;1
8;8;32;to;01;0;1
8;8;32;to;02;0.02;1
8;8;32;to;03;0.01;1
8;8;32;to;04;0.06;0
9;8;32;pe;01;0.01;1
9;8;32;pe;02;0.02;1
9;8;32;pe;03;0.01;1
9;8;32;pe;04;0.04;0
10;8;32;la;01;0.02;1
10;8;32;la;02;0;1
10;8;32;la;03;0.01;1
10;8;32;la;04;0;1
11;8;32;su;01;0.02;1
11;8;32;su;02;0.01;1
11;8;32;su;03;0;1
11;8;32;su;04;0;1
12;8;33;ma;01;0.02;1
12;8;33;ma;02;0.01;1
12;8;33;ma;03;0;1
12;8;33;ma;04;0.02;1
13;8;33;ti;01;0;1
13;8;33;ti;02;0.04;0
13;8;33;ti;03;0.01;1
13;8;33;ti;04;0.01;1
14;8;33;ke;01;0.01;1
14;8;33;ke;02;0.01;1
14;8;33;ke;03;0.01;1
14;8;33;ke;04;0.02;1
15;8;33;to;01;0.01;1
15;8;33;to;02;0.01;1
15;8;33;to;03;0;1
15;8;33;to;04;0.16;0
16;8;33;pe;01;0.01;1
16;8;33;pe;02;0.01;1
16;8;33;pe;03;0.02;1
16;8;33;pe;04;0.03;0
17;8;33;la;01;0.04;0
17;8;33;la;02;0.03;0
17;8;33;la;03;0.01;1
17;8;33;la;04;0.01;1
18;8;33;su;01;0.03;0
18;8;33;su;02;0.01;1
18;8;33;su;03;0.01;1
18;8;33;su;04;0;1
19;8;34;ma;01;0.01;1
19;8;34;ma;02;0.03;0
19;8;34;ma;03;0.02;1
19;8;34;ma;04;0.05;0
20;8;34;ti;01;0;1
20;8;34;ti;02;0.04;0
20;8;34;ti;03;0.07;0
20;8;34;ti;04;0.07;0
21;8;34;ke;01;0;1
21;8;34;ke;02;0.01;1
21;8;34;ke;03;0.03;0
21;8;34;ke;04;0.02;1
22;8;34;to;01;0;1
22;8;34;to;02;0;1
22;8;34;to;03;0.03;0
22;8;34;to;04;0.04;0
23;8;34;pe;01;0;1
23;8;34;pe;02;0.04;0
23;8;34;pe;03;0;1
23;8;34;pe;04;0.05;0
24;8;34;la;01;0.01;1
24;8;34;la;02;0.03;0
24;8;34;la;03;0.12;0
24;8;34;la;04;0.01;1
25;8;34;su;01;0.05;0
25;8;34;su;02;0;1
25;8;34;su;03;0.05;0
25;8;34;su;04;0.03;0
26;8;35;ma;01;0.02;1
26;8;35;ma;02;0.03;0
26;8;35;ma;03;0.03;0
26;8;35;ma;04;0.03;0
27;8;35;ti;01;0.01;1
27;8;35;ti;02;0;1
27;8;35;ti;03;0.04;0
27;8;35;ti;04;0.22;0
28;8;35;ke;01;0.02;1
28;8;35;ke;02;0.01;1
28;8;35;ke;03;0.03;0
28;8;35;ke;04;0.04;0
29;8;35;to;01;0.01;1
29;8;35;to;02;0.02;1
29;8;35;to;03;0.01;1
29;8;35;to;04;0.05;0
30;8;35;pe;01;0.03;0
30;8;35;pe;02;0;1
30;8;35;pe;03;0.02;1
30;8;35;pe;04;0.03;0
31;8;35;la;01;0.01;1
31;8;35;la;02;0.01;1
31;8;35;la;03;0;1
31;8;35;la;04;0.02;1
